id	text	title
1	As such, African immigrants are to be distinguished from African American people, the latter of whom are descendants of mostly West and Central Africans who were involuntarily brought to the United States by means of the historic Atlantic slave trade .	African immigration to the United States
2	A glacier cave is a cave formed within the ice of a glacier .	Glacier cave
3	Pumps operate by some mechanism (typically reciprocating or rotary ), and consume energy to perform mechanical work by moving the fluid.	Pump
4	Employing over 6,000, BMC is often credited with pioneering the BSM concept as a way to help better align IT operations with business needs.	BMC Software
5	For 2011, the company recorded an annual revenue of $2.1 billion, making it the #20 largest software company in terms of revenue for that year.	BMC Software
6	This tablespoon has a capacity of about 15 mL.	Tablespoon
7	In the USA one tablespoon (measurement unit) is approximately 15 mL; the capacity of an actual tablespoon (dining utensil) ranges from 7 mL to 14 mL.	Tablespoon
8	In Australia one tablespoon (measurement unit) is 20 mL.	Tablespoon
9	The series also originated much tie-in merchandise, making the Harry Potter brand worth in excess of $15 billion.	Harry Potter
10	"A rocket engine, or simply ""rocket"", is a jet engine that uses only stored propellant mass for forming its high speed propulsive jet ."	Rocket engine
11	The actress who played Lolita, Sue Lyon , was fourteen at the time of filming.	Lolita (1962 film)
12	Transmission occurs primarily by drinking water or eating food that has been contaminated by the feces (waste product) of an infected person, including one with no apparent symptoms.	Cholera
13	Anne Frank and her sister, Margot , were eventually transferred to the Bergen-Belsen concentration camp , where they died of typhus in March 1945.	Anne Frank
14	The radial engine is a reciprocating type internal combustion engine configuration in which the cylinders point outward from a central crankshaft like the spokes of a wheel.	Radial engine
15	Deepwater drilling is the process of oil and gas exploration and production in depths of more than 500 feet.	Deepwater drilling
16	"Monica Samille Lewinsky (born July 23, 1973) is an American woman with whom United States President Bill Clinton admitted to having had an ""improper relationship"" while she worked at the White House in 1995 and 1996."	Monica Lewinsky
17	Beginning his musical career in the swing era with Harry James and Tommy Dorsey , Sinatra found unprecedented success as a solo artist from the early to mid-1940s after being signed to Columbia Records in 1943.	Frank Sinatra
18	An antibody (Ab), also known as an immunoglobulin (Ig), is a large Y-shaped protein produced by B-cells that is used by the immune system to identify and neutralize foreign objects such as bacteria and viruses .	antibody
19	The antibody recognizes a unique part of the foreign target, called an antigen .	antibody
20	"Each tip of the ""Y"" of an antibody contains a paratope (a structure analogous to a lock) that is specific for one particular epitope (similarly analogous to a key) on an antigen, allowing these two structures to bind together with precision."	antibody
21	Using this binding mechanism, an antibody can tag a microbe or an infected cell for attack by other parts of the immune system, or can neutralize its target directly (for example, by blocking a part of a microbe that is essential for its invasion and survival).	antibody
22	The 2008 Sunday Times Rich List estimated Rowling's fortune at £560 million ($798 million), ranking her as the twelfth richest woman in the United Kingdom.	J. K. Rowling
23	According to the U.S Census estimates of 2005, the city had a population of 12,381.	Auburndale, Florida
24	Kirk Douglas (born Issur Danielovitch, ; December 9, 1916) is an American stage and film actor, film producer and author.	Kirk Douglas
25	"Robert Clark ""Bob"" Seger (born May 6, 1945) is an American rock and roll singer-songwriter , guitarist and pianist ."	Bob Seger
26	The black-and-white series originally ran from October 15, 1951, to May 6, 1957, on the Columbia Broadcasting System (CBS).	I Love Lucy
27	Richard Milhous Nixon (January 9, 1913 – April 22, 1994) was the 37th President of the United States , serving from 1969 to 1974, when he became the only president to resign the office.	Richard Nixon
28	"The peso is subdivided into 100 centavos, represented by "" ¢ ""."	Mexican peso
29	James appeared in World Wrestling Entertainment (WWE) in October 2005 and was placed in a storyline with Trish Stratus , in which James' gimmick was that of Stratus' biggest fan turned obsessed stalker, an angle which lasted almost a year.	Mickie James
30	Armando Pérez (born January 15, 1981), better known by his stage name Pitbull, is an American rapper, songwriter, and record producer.	Pitbull (entertainer)
31	The original World Trade Center featured landmark twin towers, which opened on April 4, 1973 and were destroyed in the September 11 attacks of 2001, along with 7 World Trade Center.	World Trade Center
32	Each shell can contain only a fixed number of electrons: The 1st shell can hold up to two electrons, the 2nd shell can hold up to eight electrons, the 3rd shell can hold up to 18, and 4th shell can hold up to 32 and so on.	Electron shell
33	There have been 43 people sworn into office, and 44 presidencies, as Grover Cleveland served two non-consecutive terms and is counted chronologically as both the 22nd and 24th president.	List of Presidents of the United States
34	"Beatrice ""Bea"" Arthur (May 13, 1922 – April 25, 2009) was an American actress, comedienne, and singer whose career spanned seven decades."	Bea Arthur
35	State schools (also known as public schools or government schools) generally refer to primary or secondary schools mandated for or offered to all children without charge paid for, in whole or in part, by taxation .	state school
36	The term may also refer to institutions of post-secondary education funded, in whole or in part, and overseen by government.	state school
37	The light-independent reactions of photosynthesis are chemical reactions that convert carbon dioxide and other compounds into glucose .	Light-independent reactions
38	These reactions take the light-dependent reactions and perform further chemical processes on them.	Light-independent reactions
